"unigram","bigram","freq"
"what","are",21
"where","you",21
"wish","i",21
"work","and",21
"you","could",21
"you","look",21
"a","bad",20
"a","full",20
"a","look",20
"a","part",20
"a","perfect",20
"a","state",20
"a","yearold",20
"about","that",20
"after","that",20
"all","in",20
"and","by",20
"and","with",20
"are","also",20
"are","on",20
"as","one",20
"at","any",20
"at","her",20
"at","his",20
"be","an",20
"be","done",20
"but","is",20
"care","of",20
"days","of",20
"did","a",20
"did","the",20
"do","a",20
"does","it",20
"end","up",20
"few","weeks",20
"figure","out",20
"friends","and",20
"got","the",20
"happened","to",20
"his","wife",20
"i","go",20
"i","heard",20
"i","told",20
"i","tried",20
"im","sure",20
"in","any",20
"in","on",20
"in","recent",20
"in","with",20
"is","really",20
"it","just",20
"it","looks",20
"its","like",20
"lead","to",20
"life","is",20
"living","in",20
"majority","of",20
"make","me",20
"makes","me",20
"may","not",20
"more","and",20
"nice","to",20
"not","have",20
"on","and",20
"on","how",20
"on","monday",20
"people","and",20
"person","who",20
"pick","up",20
"president","of",20
"price","of",20
"put","a",20
"put","on",20
"ready","for",20
"remember","the",20
"saw","the",20
"soon","as",20
"state","of",20
"that","im",20
"the","area",20
"the","children",20
"the","internet",20
"the","list",20
"the","ones",20
"the","very",20
"the","worlds",20
"them","on",20
"them","with",20
"theres","no",20
"time","is",20
"time","with",20
"to","any",20
"to","just",20
"want","you",20
"was","also",20
"was","my",20
"was","one",20
"we","just",20
"what","happened",20
"when","youre",20
"who","would",20
"would","love",20
"you","love",20
"a","game",19
"a","member",19
"a","million",19
"a","person",19
"a","really",19
"a","story",19
"a","strong",19
"an","old",19
"and","are",19
"and","let",19
"and","your",19
"any","other",19
"as","soon",19
"at","an",19
"at","it",19
"be","at",19
"be","sure",19
"but","at",19
"but","with",19
"call","it",19
"came","out",19
"can","also",19
"city","and",19
"comes","from",19
"cost","of",19
"designed","to",19
"didnt","have",19
"didnt","want",19
"felt","like",19
"find","it",19
"food","and",19
"for","another",19
"for","what",19
"found","the",19
"from","this",19
"from","to",19
"get","in",19
"get","my",19
"getting","a",19
"grew","up",19
"had","an",19
"have","never",19
"he","wants",19
"her","husband",19
"history","of",19
"i","actually",19
"idea","of",19
"im","done",19
"in","as",19
"is","like",19
"it","does",19
"it","means",19
"it","might",19
"just","because",19
"loss","of",19
"made","me",19
"middle","of",19
"most","important",19
"mothers","day",19
"my","mother",19
"my","new",19
"no","more",19
"of","and",19
"of","money",19
"of","other",19
"on","me",19
"percent","to",19
"return","to",19
"said","of",19
"san","diego",19
"she","could",19
"someone","who",19
"sometimes","i",19
"started","to",19
"story","of",19
"thats","not",19
"the","center",19
"the","following",19
"the","home",19
"the","love",19
"the","opportunity",19
"the","words",19
"them","all",19
"then","you",19
"there","for",19
"thing","i",19
"think","you",19
"this","blog",19
"this","day",19
"though","the",19
"to","avoid",19
"to","sit",19
"to","those",19
"took","the",19
"was","at",19
"was","born",19
"was","on",19
"watch","the",19
"weeks","ago",19
"went","on",19
"were","all",19
"will","do",19
"year","the",19
"you","go",19
"a","list",18
"a","picture",18
"a","piece",18
"a","public",18
"a","whole",18
"a","young",18
"ahead","of",18
"also","the",18
"an","email",18
"and","new",18
"and","say",18
"as","to",18
"asked","if",18
"asked","to",18
"at","its",18
"because","we",18
"been","to",18
"best","of",18
"book","is",18
"closer","to",18
"come","in",18
"compared","to",18
"didnt","know",18
"dont","get",18
"dont","like",18
"down","a",18
"even","when",18
"get","back",18
"go","on",18
"good","morning",18
"had","just",18
"happens","to",18
"has","an",18
"has","become",18
"has","no",18
"have","not",18
"have","some",18
"he","never",18
"health","care",18
"her","own",18
"his","father",18
"i","decided",18
"if","a",18
"im","in",18
"in","december",18
"in","place",18
"in","there",18
"in","two",18
"interest","in",18
"is","all",18
"it","that",18
"it","when",18
"its","all",18
"just","have",18
"let","us",18
"like","you",18
"many","times",18
"me","know",18
"me","the",18
"means","that",18
"more","like",18
"not","so",18
"of","how",18
"of","work",18
"off","with",18
"or","something",18
"other","words",18
"parts","of",18
"school","district",18
"since","i",18
"so","he",18
"so","im",18
"something","i",18
"take","it",18
"that","his",18
"the","air",18
"the","beginning",18
"the","church",18
"the","event",18
"the","four",18
"the","greatest",18
"the","heart",18
"the","late",18
"the","opening",18
"the","race",18
"the","report",18
"the","room",18
"the","series",18
"the","start",18
"the","woman",18
"the","yearold",18
"thing","that",18
"things","are",18
"this","book",18
"to","and",18
"to","ask",18
"to","build",18
"to","deal",18
"to","fill",18
"to","kill",18
"to","mention",18
"to","return",18
"to","send",18
"understand","the",18
"using","the",18
"watching","the",18
"we","should",18
"week","and",18
"well","i",18
"who","will",18
"will","continue",18
"will","you",18
"with","its",18
"with","our",18
"with","us",18
"wont","be",18
"you","i",18
"you","like",18
"you","that",18
"youre","going",18
"a","book",17
"a","car",17
"a","free",17
"a","fun",17
"a","high",17
"a","minute",17
"a","pretty",17
"a","short",17
"a","team",17
"a","trip",17
"agreed","to",17
"always","been",17
"and","also",17
"and","go",17
"and","many",17
"are","doing",17
"as","my",17
"attempt","to",17
"be","honest",17
"be","my",17
"be","used",17
"been","in",17
"being","the",17
"board","of",17
"but","now",17
"came","from",17
"coming","to",17
"depending","on",17
"difficult","to",17
"ended","up",17
"face","of",17
"far","from",17
"for","each",17
"for","now",17
"form","of",17
"found","out",17
"get","some",17
"go","home",17
"goes","to",17
"good","for",17
"has","made",17
"have","done",17
"him","as",17
"his","family",17
"how","we",17
"i","miss",17
"i","only",17
"if","she",17
"in","both",17
"in","terms",17
"inside","the",17
"is","actually",17
"it","it",17
"it","makes",17
"it","off",17
"it","should",17
"it","took",17
"its","hard",17
"its","so",17
"just","that",17
"kinds","of",17
"made","in",17
"making","a",17
"me","as",17
"me","but",17
"miss","you",17
"more","about",17
"must","have",17
"my","house",17
"my","phone",17
"not","been",17
"now","im",17
"of","him",17
"of","some",17
"on","its",17
"or","at",17
"or","more",17
"our","own",17
"out","on",17
"really","good",17
"refused","to",17
"said","to",17
"saw","a",17
"says","the",17
"scheduled","to",17
"some","time",17
"someone","else",17
"sure","to",17
"take","on",17
"that","day",17
"that","doesnt",17
"that","may",17
"the","cost",17
"the","floor",17
"the","guy",17
"the","guys",17
"the","hell",17
"the","kitchen",17
"the","legislature",17
"the","line",17
"the","music",17
"the","perfect",17
"the","south",17
"the","summer",17
"the","thing",17
"there","and",17
"these","days",17
"this","month",17
"this","post",17
"this","song",17
"to","finish",17
"to","one",17
"to","understand",17
"to","what",17
"today","is",17
"two","days",17
"using","a",17
"variety","of",17
"was","all",17
"was","always",17
"was","arrested",17
"was","given",17
"was","more",17
"way","that",17
"which","the",17
"work","for",17
"year","to",17
"you","find",17
"you","had",17
"youre","not",17
"a","hard",16
"a","school",16
"about","million",16
"about","their",16
"and","can",16
"and","most",16
"and","sometimes",16
"and","those",16
"and","well",16
"are","getting",16
"are","just",16
"are","looking",16
"as","far",16
"back","of",16
"be","as",16
"before","he",16
"beyond","the",16
"block","of",16
"but","then",16
"but","were",16
"can","only",16
"city","of",16
"come","up",16
"could","get",16
"cup","of",16
"day","for",16
"do","we",16
"doesnt","have",16
"doing","a",16
"dont","even",16
"first","quarter",16
"forced","to",16
"found","a",16
"from","all",16
"from","an",16
"game","and",16
"get","out",16
"give","the",16
